Timestamp,Signal Strength (dBm),SNR,Call Duration (s),Environment,Attenuation,Distance to Tower (km),Tower ID,User ID,Call Type,Incoming/Outgoing
01-03-2024 17:46,-84.1197631,25.94008183,1713.80055,urban,14.69043763,2.243176365,5,25,data,incoming
01-04-2024 17:29,-87.80613083,15.93735398,345.3718483,home,6.213698114,5.0025665,3,22,voice,incoming
01-05-2024 17:14,-116.5751756,14.70938428,259.2850435,open,4.494414966,8.705973532,2,5,voice,incoming
01-06-2024 16:02,-82.9611829,21.72716509,357.9740044,home,7.619957473,7.42702455,5,33,data,outgoing
01-07-2024 22:19,-85.01257411,26.05815843,398.0067158,urban,10.65515883,0.612070511,5,8,voice,outgoing
01-08-2024 22:31,-98.61869164,20.60673774,1795.175137,urban,5.62220178,4.702561102,6,42,data,outgoing
01-09-2024 20:39,-74.13939862,15.5331438,230.3202474,suburban,7.636230351,1.667293216,1,74,voice,outgoing
01-10-2024 22:03,-50.23533096,23.89898281,462.1125684,open,0.441028675,1.165778848,7,16,data,incoming
01-11-2024 10:15,-70.1030734,20.07036982,1697.423365,suburban,5.298498383,7.678126245,8,7,voice,outgoing
01-12-2024 13:31,-97.60056369,23.43781426,1311.066526,home,1.235894405,4.972048795,8,74,data,incoming
1/13/2024 15:20,-99.65173579,14.24407071,857.845963,open,0.757706453,9.157530851,9,62,voice,incoming
1/14/2024 19:10,-78.58596219,17.39178627,683.852621,suburban,5.586920112,7.869592628,3,54,voice,incoming
1/15/2024 9:16,-105.4742054,24.77049571,1767.798125,urban,7.515345926,5.694189798,8,29,voice,incoming
1/16/2024 23:40,-77.20348668,23.31786404,1623.783687,urban,5.943238444,7.328655657,8,87,data,incoming
1/17/2024 12:50,-87.95391151,11.22192744,20.74531516,home,3.776850554,8.155694399,4,17,voice,outgoing
1/18/2024 16:55,-82.29876478,19.01832921,1682.714312,home,1.430581907,6.051086816,6,80,data,outgoing
1/19/2024 22:10,-105.5434978,15.61590482,1225.434852,open,0.827054572,3.06940589,5,50,voice,outgoing
1/20/2024 16:09,-65.74131849,17.9516718,1468.435558,suburban,6.182044099,8.1784004,3,91,data,incoming
1/21/2024 10:22,-93.13557136,19.60571147,195.6578093,suburban,5.764449113,2.883908464,2,33,data,incoming
1/22/2024 13:27,-77.06992052,24.83016112,1724.037014,open,2.519651262,6.014914422,2,29,data,incoming
1/23/2024 21:14,-79.61500354,12.2102726,1362.300007,open,3.78758677,0.482598313,6,7,data,incoming
1/24/2024 14:07,-103.4370333,20.88623753,1710.112397,urban,7.076121129,9.794610306,6,19,voice,incoming
1/25/2024 23:41,-98.4673081,12.60994798,1522.650425,home,9.623116502,5.211485636,7,98,data,incoming
1/26/2024 12:26,-90.87582012,20.04625995,1212.130397,open,2.615959362,8.052938277,7,23,voice,outgoing
1/27/2024 18:02,-69.98998148,25.99040755,381.2258946,suburban,2.442739532,7.118560696,6,94,voice,incoming
1/28/2024 9:48,-104.2605295,26.20766531,1260.830065,suburban,4.346362573,3.932568507,9,88,voice,outgoing
1/29/2024 21:06,-75.85605804,16.63521937,1352.416575,home,8.029151158,1.640878909,10,85,data,incoming
1/30/2024 10:17,-107.0556421,29.21249558,1342.573611,urban,6.713274113,8.446574371,4,17,data,outgoing
1/31/2024 9:46,-118.2439821,28.49208688,879.0474997,open,0.347463045,9.785868635,4,83,voice,outgoing
02-01-2024 14:55,-72.44270204,13.05861522,1203.862005,suburban,7.677539185,2.180204112,10,11,data,outgoing
02-02-2024 21:00,-75.0376259,29.51516024,1219.151692,suburban,3.4103344,8.28782224,8,94,data,incoming
02-03-2024 17:50,-101.1453209,14.02888914,1100.392667,urban,5.365221853,5.23405644,2,48,data,incoming
02-04-2024 20:19,-82.24961791,22.24402245,1388.020212,open,0.953360623,2.997988072,8,50,voice,incoming
02-05-2024 11:49,-74.35762809,17.11528325,1274.602148,home,5.674504106,1.294108527,10,38,data,incoming
02-06-2024 13:17,-101.5263501,16.19675728,82.79986878,urban,10.08112638,1.17991491,10,43,data,incoming
02-07-2024 14:06,-77.37150394,19.33172518,802.242975,urban,10.80131998,9.916495945,1,52,data,outgoing
02-08-2024 18:19,-61.19838828,22.80750064,1186.678601,home,5.737541326,5.183831015,9,55,data,incoming
02-09-2024 18:39,-73.69277248,27.63613405,144.3390057,home,5.605665193,2.73269379,10,69,voice,incoming
